2017-12-13 16:13:18,057 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 16:13:18,058 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 16:13:18,058 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 16:13:18,059 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-19 08:54:17,505 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-12-19 08:54:20,381 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-19 08:54:20,382 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-19 08:54:20,384 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-19 08:54:20,384 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-19 08:54:21,184 [Worker-8] WARN  org.eclipse.jgit.util.FS - Exception caught during execution of command '[git, --version]' in '/usr/bin', return code '1', error message 'xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools), missing xcrun at: /Library/Developer/CommandLineTools/usr/bin/xcrun
'
